Code;2017;2021
BE10;:;:
BE21;0.6426;0.6341
BE22;0.9087;0.8457
BE23;0.7148;0.6940
BE24;0.7600;0.7809
BE25;0.6043;0.6136
BE31;0.8397;0.8195
BE32;0.4870;0.6445
BE33;0.3366;0.4226
BE34;0.3616;0.2796
BE35;0.2563;0.2078
BG31;0.2768;0.2919
BG32;0.3470;0.3345
BG33;0.1626;0.1697
BG34;0.1860;0.2037
BG41;0.1570;0.1611
BG42;0.3140;0.2941
CZ01;:;:
CZ02;0.4951;0.4717
CZ03;0.3066;0.3285
CZ04;0.5116;0.4923
CZ05;0.3802;0.3763
CZ06;0.3122;0.3239
CZ07;0.3963;0.4098
CZ08;0.4060;0.4247
DK01;0.2814;0.1996
DK02;0.4346;0.4112
DK03;0.4238;0.3088
DK04;0.2866;0.2350
DK05;0.0961;0.2335
DE11;0.5068;0.6016
DE12;0.5233;0.5017
DE13;0.5385;0.5242
DE14;0.5011;0.4691
DE21;0.3669;0.3906
DE22;0.3081;0.3865
DE23;0.4442;0.4162
DE24;0.4795;0.4869
DE25;0.3420;0.3317
DE26;0.3583;0.4031
DE27;0.3898;0.4539
DE30;:;:
DE40;0.5043;0.4617
DE50;:;:
DE60;:;:
DE71;0.5128;0.5661
DE72;0.5125;0.4014
DE73;0.3965;0.3798
DE80;0.2602;0.2489
DE91;0.3745;0.2910
DE92;0.4323;0.4172
DE93;0.5329;0.5052
DE94;0.5481;0.4634
DEA1;0.2518;0.2886
DEA2;0.4194;0.4282
DEA3;0.4729;0.5621
DEA4;0.5688;0.5633
DEA5;0.3479;0.3779
DEB1;0.5405;0.5133
DEB2;0.2124;0.2198
DEB3;0.4568;0.4958
DEC0;0.6860;0.6466
DED2;0.3538;0.3913
DED4;0.5150;0.4704
DED5;0.2404;0.2731
DEE0;0.3922;0.3567
DEF0;0.4104;0.4807
DEG0;0.4293;0.3957
EE00;0.1775;0.2217
IE04;0.1261;0.1379
IE05;0.3050;0.2818
IE06;0.1947;0.2141
IE01;:;:
IE02;:;:
EL30;0.3058;0.2931
EL41;0.4122;0.4194
EL42;0.2305;0.3084
EL43;0.1742;0.2226
EL51;0.4405;0.4642
EL52;0.3529;0.3426
EL53;0.5598;0.5250
EL54;0.2087;0.2149
EL61;0.2751;0.2261
EL62;0.2715;0.3438
EL63;0.2902;0.2721
EL64;0.2983;0.3551
EL65;0.3165;0.3285
ES11;0.3716;0.3424
ES12;0.2503;0.2738
ES13;0.3866;0.3707
ES21;0.2929;0.3058
ES22;0.1404;0.1780
ES23;0.2835;0.2707
ES24;0.2426;0.2379
ES30;0.1367;0.1357
ES41;0.2276;0.2348
ES42;0.4218;0.4078
ES43;0.3866;0.3563
ES51;0.3162;0.2715
ES52;0.4182;0.4521
ES53;0.4594;0.4572
ES61;0.3782;0.3751
ES62;0.4835;0.4281
ES63;:;:
ES64;:;:
ES70;0.4517;0.4447
FR10;0.1258;0.1536
FRB0;0.1852;0.1611
FRC1;0.3238;0.2042
FRC2;0.1055;0.1297
FRD1;0.1961;0.3344
FRD2;0.2233;0.2022
FRE1;0.2239;0.2733
FRE2;0.3020;0.3666
FRF1;0.4055;0.2977
FRF2;0.1418;0.1891
FRF3;0.4132;0.3113
FRG0;0.1052;0.1577
FRH0;0.2190;0.2088
FRI1;0.1914;0.1543
FRI2;0.0461;0.0559
FRI3;0.1627;0.1519
FRJ1;0.2490;0.3238
FRJ2;0.3174;0.1418
FRK1;0.1479;0.2068
FRK2;0.3180;0.3896
